accession	thioether	sg_dist
A0A010Q293	-	15.31
A0A010Q4B9	-	23.85
A0A010QAA5	-	22.97
A0A010QHN9	-	22.38
A0A010QL93	-	15.29
A0A010QPL7	-	21.83
A0A010QXZ0	-	16.89
A0A010QYY8	-	10.92
A0A010R9A2	-	22.78
A0A010RBA2	C*	3.56
A0A010RL70	-	23.07
A0A010RM53	-	23.02
A0A010RPY0	-	22.51
A0A010RQ21	-	22.74
A0A010RUM6	C	3.39
A0A010RV53	-	NA
A0A010RV80	-	10.36
A0A010RY59	C	3.24
A0A010RYF3	-	16.52
A0A010S1R5	-	NA
A0A010S6Q2	-	22.75
A0A010SFQ0	-	14.85
A0A010SKU6	C	3.49
A0A010SMB4	-	16.08
A0A010SNL7	-	22.82
A0A014N831	-	NA
A0A014P1F1	-	19.85
A0A014PNW6	C	3.16
A0A014QX88	-	22.71
A0A016RWG9	-	17.00
A0A016RXK8	-	17.00
A0A016S930	-	18.12
A0A016SJ50	-	12.59
A0A016SK14	-	12.44
A0A016T0A5	-	13.01
A0A016T1G5	-	13.50
A0A016TKY1	-	14.04
A0A016UL52	-	11.21
A0A016ULR3	-	11.20
A0A016VBJ0	-	11.55
A0A016VC89	-	10.85
A0A016VDA3	-	10.84
A0A016VE53	-	11.63
A0A016VS08	-	14.19
A0A016W0V7	-	13.15
A0A016W1G3	-	13.16
A0A016W215	-	NA
A0A016W259	C*	8.98
A0A016W313	C*	8.09
A0A016W324	-	NA
A0A016W3A4	-	13.24
A0A016W3W4	-	12.67
A0A016WCE7	-	11.62
A0A016WQP8	-	11.77
A0A016WQV2	-	11.50
A0A017SD63	-	23.21
A0A017SF68	C	3.42
A0A022QC39	C	2.79
A0A022QE60	C	2.53
A0A022QG63	C	2.90
A0A022QL39	C	2.82
A0A022R0C6	C	2.66
A0A022R0D6	C	2.65
A0A022R1L2	C	2.77
A0A022R1L7	C	2.87
A0A022R3H9	C	2.97
A0A022R5P3	C	2.90
A0A022WGP6	C	3.34
A0A022Y7J2	C	3.32
A0A023GU59	-	NA
A0A023PMD2	C	2.74
A0A023PN01	C	2.81
A0A023PNV8	C	2.86
A0A023PP81	C	2.84
A0A024CHG7	-	15.95
A0A024CHH0	-	14.08
A0A024CHU4	-	15.53
A0A024CHU9	-	19.25
A0A024CI03	-	13.06
A0A024CI05	-	21.87
A0A024CIJ0	-	19.18
A0A024CIJ4	-	15.70
A0A024CIJ8	-	14.58
A0A024CJP7	-	15.90
A0A024CJQ0	-	21.83
A0A024DBG7	-	13.26
A0A024FR46	C	2.85
A0A024FS61	C	2.85
A0A024FZ14	-	11.99
A0A024GPM3	-	12.49
A0A024S4X8	C	3.37
A0A024SD58	C	3.20
A0A024SJR1	C	2.94
A0A024T961	-	NA
A0A024T9U4	-	11.85
A0A024TEL4	-	11.86
A0A024TMR4	-	10.76
A0A024TN69	-	10.76
A0A024UGQ1	-	NA
A0A024UNS3	-	11.83
A0A024UP64	-	11.92
A0A024URD5	-	12.16
A0A058ZW33	C	2.71
A0A059CCV1	C	3.33
A0A059CDE4	C	2.81
A0A059F260	-	51.39
