protein_id	pfam
CAH0486796	PF00136|DNA polymerase family B;PF03104|DNA polymerase family B, exonuclease domain;PF08996|DNA Polymerase alpha zinc finger;PF12254|DNA polymerase alpha subunit p180 N terminal
CAH0486797	
CAH0486798	PF04032|RNAse P Rpr2/Rpp21/SNM1 subunit domain
CAH0486799	PF00270|DEAD/DEAH box helicase;PF00271|Helicase conserved C-terminal domain;PF05773|RWD domain;PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold;PF21010|Helicase associated domain (HA2), ratchet-like;PF24899|ATP-dependent RNA helicase DHX29, UBA domain;PF26026|C-terminal domain in RNA helicases
CAH0486800	
CAH0486801	PF00005|ABC transporter
CAH0486802	
CAH0486803	PF01465|GRIP domain
CAH0486804	
CAH0486805	
CAH0486807	PF00168|C2 domain;PF12234|RAVE protein 1 C terminal
CAH0486808	PF00168|C2 domain;PF12234|RAVE protein 1 C terminal
CAH0486809	PF00027|Cyclic nucleotide-binding domain;PF00069|Protein kinase domain;PF00481|Protein phosphatase 2C
CAH0486810	
CAH0486811	PF00583|Acetyltransferase (GNAT) family
CAH0486812	PF03171|2OG-Fe(II) oxygenase superfamily
CAH0486813	
CAH0486814	PF00121|Triosephosphate isomerase
CAH0486815	
CAH0486816	PF00069|Protein kinase domain
CAH0513504	
CAH0513505	PF00264|Common central domain of tyrosinase
CAH0513507	PF00264|Common central domain of tyrosinase
CAH0513508	PF13886|TM7S3/TM198-like domain
CAH0513509	PF13886|TM7S3/TM198-like domain
CAH0513510	PF13886|TM7S3/TM198-like domain
CAH0513511	
CAH0513512	PF02939|UcrQ family
CAH0513513	PF04366|Las17-binding protein actin regulator
CAH0513514	
CAH0513515	
CAH0513516	PF01529|DHHC palmitoyltransferase;PF12796|Ankyrin repeats (3 copies)
CAH0518579	
CAH0518580	PF00069|Protein kinase domain
CAH0518581	PF00439|Bromodomain
CAH0518582	PF00121|Triosephosphate isomerase
CAH0518583	PF00400|WD domain, G-beta repeat
CAH0518584	PF03171|2OG-Fe(II) oxygenase superfamily
CAH0518585	PF00583|Acetyltransferase (GNAT) family
CAH0518586	
CAH0518587	PF00027|Cyclic nucleotide-binding domain;PF00069|Protein kinase domain;PF00481|Protein phosphatase 2C
CAH0518588	PF00168|C2 domain;PF12234|RAVE protein 1 C terminal
CAH0518590	
CAH0518591	
CAH0518592	PF00270|DEAD/DEAH box helicase;PF00271|Helicase conserved C-terminal domain;PF05773|RWD domain;PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold;PF21010|Helicase associated domain (HA2), ratchet-like;PF24385|ATP-dependent RNA helicase DHX29, DSRM-like;PF24899|ATP-dependent RNA helicase DHX29, UBA domain;PF26026|C-terminal domain in RNA helicases
CAH0518593	PF01465|GRIP domain
CAH0518594	
CAH0518595	
CAH0518596	PF04032|RNAse P Rpr2/Rpp21/SNM1 subunit domain
CAH0518597	PF00136|DNA polymerase family B;PF03104|DNA polymerase family B, exonuclease domain;PF08996|DNA Polymerase alpha zinc finger;PF12254|DNA polymerase alpha subunit p180 N terminal
CAH0518598	PF08996|DNA Polymerase alpha zinc finger
CAH0518599	
CAI5735339	PF00069|Protein kinase domain;PF00481|Protein phosphatase 2C
CAI5735342	PF00168|C2 domain;PF12234|RAVE protein 1 C terminal
CAI5735348	
CAI5735351	
CAI5735354	
CAI5735357	PF01465|GRIP domain
CAI5735360	
CAI5735363	PF00005|ABC transporter
CAI5735366	
CAI5735369	PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold;PF21010|Helicase associated domain (HA2), ratchet-like;PF26026|C-terminal domain in RNA helicases
CAI5735372	PF24899|ATP-dependent RNA helicase DHX29, UBA domain
CAI5735375	PF04032|RNAse P Rpr2/Rpp21/SNM1 subunit domain
CAI5735488	PF13649|Methyltransferase domain
CAI5735491	PF06728|GPI transamidase subunit PIG-U
CAI5735495	
CAI5735497	
CAI5735499	PF00270|DEAD/DEAH box helicase;PF00271|Helicase conserved C-terminal domain;PF04408|Helicase associated domain (HA2), winged-helix;PF05773|RWD domain;PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold;PF21010|Helicase associated domain (HA2), ratchet-like;PF24899|ATP-dependent RNA helicase DHX29, UBA domain;PF26026|C-terminal domain in RNA helicases
CAI5735502	
CAI5735505	
CAI5735508	
CAI5735511	PF01465|GRIP domain
CAI5735514	
CAI5735520	PF13508|Acetyltransferase (GNAT) domain
CAI5735523	
CAI5735526	PF00027|Cyclic nucleotide-binding domain;PF00069|Protein kinase domain;PF00481|Protein phosphatase 2C
CAI5735529	PF00168|C2 domain;PF12234|RAVE protein 1 C terminal
CAI5735532	
CAI5735535	
CAI5735538	PF00439|Bromodomain
CAI5735541	PF00069|Protein kinase domain
CAI5735544	PF00121|Triosephosphate isomerase
CAI5735546	
CAI5740899	
CAI5740904	
CAI5740907	PF04366|Las17-binding protein actin regulator
CAI5740910	PF02939|UcrQ family
CAI5740913	
CAI5740916	
CAI5740919	
CAI5740922	PF13886|TM7S3/TM198-like domain
CAI5740925	PF13886|TM7S3/TM198-like domain
CAI5740928	
CAI5740934	PF02410|Ribosomal silencing factor during starvation
CAI5740937	PF03901|Alg9-like mannosyltransferase family
CAI5740940	PF03901|Alg9-like mannosyltransferase family
CAI5740942	PF00731|AIR carboxylase;PF02222|ATP-grasp domain;PF17769|Phosphoribosylaminoimidazole carboxylase C-terminal domain;PF22660|Ribonucleotide synthetase preATP-grasp domain
CAI5740945	PF10268|Predicted transmembrane protein 161AB
CAI5740948	PF14382|Exosome complex exonuclease RRP4 N-terminal region;PF15985|KH domain;PF21266|RRP4, S1 domain
CAI5740951	
CAI5740954	
CAI5740956	PF04535|Casparian strip membrane protein domain
CAI5740959	
CEG42531	
CEG42532	
CEG42533	
CEG42534	
CEG42535	PF00069|Protein kinase domain
CEG42536	
CEG42537	PF00583|Acetyltransferase (GNAT) family
CEG42538	
CEG42539	PF00027|Cyclic nucleotide-binding domain;PF00069|Protein kinase domain;PF00481|Protein phosphatase 2C
CEG42540	PF00168|C2 domain;PF12234|RAVE protein 1 C terminal
CEG42542	
CEG42543	
CEG42544	PF03540|Transcription initiation factor TFIID 23-30kDa subunit
CEG42545	PF06951|Group XII secretory phospholipase A2 precursor (PLA2G12)
CEG42546	PF01363|FYVE zinc finger;PF01535|PPR repeat;PF01590|GAF domain;PF13041|PPR repeat family
CEG42547	
CEG42548	
CEG42549	
