query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A010RYF3	JARH01000074	-2	0	3967	4386	+	EXF85654.1	CFIO01_12177	hypothetical protein
A0A010RYF3	JARH01000074	-1	0	4733	4994	-	EXF85655.1	CFIO01_12178	hypothetical protein
A0A010RYF3	JARH01000074	0	1	6766	10278	+	EXF85656.1	CFIO01_12179	hypothetical protein
A0A010RYF3	JARH01000074	1	0	14623	16025	+	EXF85657.1	CFIO01_12180	amino acid permease
A0A010RYF3	JARH01000074	2	0	16919	17249	-	EXF85658.1	CFIO01_12181	hypothetical protein
A0A010RYF3	JARH01000074	3	0	18975	19610	+	EXF85659.1	CFIO01_12182	hypothetical protein
A0A010RYF3	JARH01000074	4	0	20677	22298	-	EXF85660.1	CFIO01_12183	hypothetical protein
A0A010RYF3	JARH01000074	5	0	25978	26395	-	EXF85661.1	CFIO01_12184	hypothetical protein
A0A010RYF3	JARH01000074	6	0	27311	30985	-	EXF85662.1	CFIO01_12185	alkaline elastase YaB
A0A010RYF3	JARH01000074	7	0	33097	35873	+	EXF85663.1	CFIO01_12186	hypothetical protein
A0A010RYF3	JARH01000074	8	0	35909	37993	-	EXF85664.1	CFIO01_12187	CUE domain-containing protein
A0A010RYF3	JARH01000074	9	0	38683	39091	+	EXF85665.1	CFIO01_12188	40S ribosomal protein S20
A0A010RYF3	JARH01000074	10	0	39651	41673	-	EXF85666.1	CFIO01_12189	hypothetical protein
A0A010RM53	JARH01001073	-10	0	30045	32007	+	EXF73208.1	CFIO01_05568	endoglucanase B
A0A010RM53	JARH01001073	-9	0	32659	34503	-	EXF73209.1	CFIO01_05569	isoamyl alcohol oxidase
A0A010RM53	JARH01001073	-8	0	37365	39365	+	EXF73210.1	CFIO01_05570	hypothetical protein
A0A010RM53	JARH01001073	-7	0	39838	40263	-	EXF73211.1	CFIO01_05571	hypothetical protein
A0A010RM53	JARH01001073	-6	0	40349	41318	-	EXF73212.1	CFIO01_05572	hypothetical protein
A0A010RM53	JARH01001073	-5	0	42160	44403	-	EXF73213.1	CFIO01_05573	hypothetical protein
A0A010RM53	JARH01001073	-4	0	46472	48154	+	EXF73214.1	CFIO01_05574	hypothetical protein
A0A010RM53	JARH01001073	-3	0	48927	51976	-	EXF73215.1	CFIO01_05575	cofactor FMO1 FAD enzyme
A0A010RM53	JARH01001073	-2	0	53623	54283	-	EXF73216.1	CFIO01_05576	hypothetical protein
A0A010RM53	JARH01001073	-1	0	57248	57819	+	EXF73217.1	CFIO01_05577	hypothetical protein
A0A010RM53	JARH01001073	0	1	59094	60225	-	EXF73218.1	CFIO01_05578	hypothetical protein
A0A010RM53	JARH01001073	1	0	62310	63893	-	EXF73219.1	CFIO01_05579	hypothetical protein
A0A010RM53	JARH01001073	2	0	69569	70420	-	EXF73220.1	CFIO01_05580	hypothetical protein
A0A010RM53	JARH01001073	3	0	71128	72143	+	EXF73221.1	CFIO01_05581	hypothetical protein
A0A010RM53	JARH01001073	4	0	73250	73845	+	EXF73222.1	CFIO01_05582	short chain dehydrogenase/reductase
A0A010RM53	JARH01001073	5	0	75081	76936	-	EXF73223.1	CFIO01_05583	hypothetical protein
A0A010RM53	JARH01001073	6	0	78391	86545	-	EXF73224.1	CFIO01_05584	hypothetical protein
A0A010RM53	JARH01001073	7	0	87523	89205	-	EXF73225.1	CFIO01_05585	hypothetical protein
A0A010RM53	JARH01001073	8	0	89774	90901	+	EXF73226.1	CFIO01_05586	hypothetical protein
A0A010RM53	JARH01001073	9	0	91206	92553	+	EXF73227.1	CFIO01_05587	hypothetical protein
A0A010RM53	JARH01001073	10	0	92921	93667	-	EXF73228.1	CFIO01_05588	hypothetical protein
A0A059F260	KK365144	-10	0	138739	140112	+	KCZ81368.1	H312_01249	hypothetical protein
A0A059F260	KK365144	-9	0	141363	143285	-	KCZ81369.1	H312_01251	hypothetical protein
A0A059F260	KK365144	-8	0	146309	146425	-	KCZ81370.1	H312_01252	hypothetical protein
A0A059F260	KK365144	-7	0	146518	146763	-	KCZ81371.1	H312_01253	hypothetical protein
A0A059F260	KK365144	-6	0	146926	147261	-	KCZ81372.1	H312_01254	hypothetical protein
A0A059F260	KK365144	-5	0	147364	147801	-	KCZ81373.1	H312_01255	hypothetical protein
A0A059F260	KK365144	-4	0	147855	148802	-	KCZ81374.1	H312_01256	hypothetical protein
A0A059F260	KK365144	-3	0	149016	149600	-	KCZ81375.1	H312_01257	hypothetical protein
A0A059F260	KK365144	-2	0	151912	153183	+	KCZ81376.1	H312_01258	hypothetical protein
A0A059F260	KK365144	-1	0	158192	159259	-	KCZ81377.1	H312_01259	hypothetical protein
A0A059F260	KK365144	0	1	159389	160342	+	KCZ81378.1	H312_01260	hypothetical protein
A0A059F260	KK365144	1	0	160447	162225	+	KCZ81379.1	H312_01261	hypothetical protein
A0A059F260	KK365144	2	0	162412	162975	-	KCZ81380.1	H312_01262	hypothetical protein
A0A059F260	KK365144	3	0	163230	164276	+	KCZ81381.1	H312_01263	hypothetical protein
A0A059F260	KK365144	4	0	164774	166315	+	KCZ81382.1	H312_01264	lysine-tRNA ligase
A0A059F260	KK365144	5	0	166503	167003	-	KCZ81383.1	H312_01265	hypothetical protein
A0A059F260	KK365144	6	0	167268	168110	+	KCZ81384.1	H312_01266	acyl-CoA thioesterase II
A0A067BUS0	KK583272	-10	0	78000	78590	-	KDO22229.1	SPRG_22300	hypothetical protein
A0A067BUS0	KK583272	-9	0	84591	85356	+	KDO22230.1	SPRG_12315	hypothetical protein
A0A067BUS0	KK583272	-8	0	85798	86703	-	KDO22231.1	SPRG_12316	hypothetical protein
A0A067BUS0	KK583272	-7	0	87316	88223	-	KDO22232.1	SPRG_12317	hypothetical protein
A0A067BUS0	KK583272	-6	0	89277	90304	-	KDO22233.1	SPRG_12318	hypothetical protein
A0A067BUS0	KK583272	-5	0	91201	91553	-	KDO22234.1	SPRG_12319	hypothetical protein
A0A067BUS0	KK583272	-4	0	95688	96181	-	KDO22235.1	SPRG_12321	hypothetical protein
A0A067BUS0	KK583272	-3	0	99213	99643	-	KDO22236.1	SPRG_12322	hypothetical protein
A0A067BUS0	KK583272	-2	0	100818	101337	-	KDO22237.1	SPRG_12323	hypothetical protein
A0A067BUS0	KK583272	-1	0	101725	102024	-	KDO22238.1	SPRG_12324	hypothetical protein
A0A067BUS0	KK583272	0	1	105132	106022	+	KDO22239.1	SPRG_12325	hypothetical protein
A0A067BUS0	KK583272	1	0	107435	108292	+	KDO22240.1	SPRG_12326	hypothetical protein
A0A067BUS0	KK583272	2	0	110170	110634	-	KDO22241.1	SPRG_12327	hypothetical protein
A0A067BUS0	KK583272	3	0	111055	111835	-	KDO22242.1	SPRG_12328	hypothetical protein
A0A067BUS0	KK583272	4	0	116654	117113	+	KDO22243.1	SPRG_21138	hypothetical protein
A0A067BUS0	KK583272	5	0	139629	141057	+	KDO22244.1	SPRG_12330	hypothetical protein
A0A067BUS0	KK583272	6	0	143658	143914	-	KDO22245.1	SPRG_12331	hypothetical protein
A0A067BUS0	KK583272	7	0	145804	146061	-	KDO22246.1	SPRG_21140	hypothetical protein
A0A067BUS0	KK583272	8	0	148094	148788	+	KDO22247.1	SPRG_12333	DNA repair protein RAD51 1
A0A067BUS0	KK583272	9	0	149287	149591	-	KDO22248.1	SPRG_12334	RecA protein
A0A067BUS0	KK583272	10	0	152777	153174	+	KDO22249.1	SPRG_12335	hypothetical protein
A0A067CPX4	KK583198	-10	0	239349	240340	+	KDO31275.1	SPRG_03890	hypothetical protein
A0A067CPX4	KK583198	-9	0	241065	241915	+	KDO31276.1	SPRG_03891	O-phosphoseryl-tRNA(Sec) selenium transferase
A0A067CPX4	KK583198	-8	0	242933	246435	-	KDO31277.1	SPRG_03892	hypothetical protein
A0A067CPX4	KK583198	-7	0	247844	248724	+	KDO31278.1	SPRG_03893	hypothetical protein
A0A067CPX4	KK583198	-6	0	249617	250412	+	KDO31279.1	SPRG_03894	hypothetical protein
A0A067CPX4	KK583198	-5	0	251001	251289	+	KDO31280.1	SPRG_03895	hypothetical protein
A0A067CPX4	KK583198	-4	0	251290	253033	+	KDO31281.1	SPRG_03896	TKL protein kinase
A0A067CPX4	KK583198	-3	0	253800	254749	+	KDO31282.1	SPRG_03897	hypothetical protein
A0A067CPX4	KK583198	-2	0	255661	256119	-	KDO31283.1	SPRG_03898	hypothetical protein
A0A067CPX4	KK583198	-1	0	257802	258905	+	KDO31284.1	SPRG_03899	hypothetical protein
A0A067CPX4	KK583198	0	1	259540	260934	-	KDO31285.1	SPRG_03900	hypothetical protein
A0A067CPX4	KK583198	1	0	265537	265917	-	KDO31286.1	SPRG_03902	sodium/hydrogen exchanger 3
A0A067CPX4	KK583198	2	0	267992	268762	-	KDO31287.1	SPRG_03903	serine/threonine protein kinase
A0A067CPX4	KK583198	3	0	270437	270690	-	KDO31288.1	SPRG_03904	hypothetical protein
A0A067CPX4	KK583198	4	0	273104	273445	+	KDO31289.1	SPRG_03905	hypothetical protein
