query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A1N6ZK30	FTNI01000007	-10	0	186862	188286	+	SIR26884.1	SAMN05421833_107164	oxygen-dependent protoporphyrinogen oxidase
A0A1N6ZK30	FTNI01000007	-9	0	188375	189076	+	SIR26912.1	SAMN05421833_107165	chlorite dismutase
A0A1N6ZK30	FTNI01000007	-8	0	189156	189950	-	SIR26943.1	SAMN05421833_107166	TIGR03083 family protein
A0A1N6ZK30	FTNI01000007	-7	0	190035	190796	-	SIR26978.1	SAMN05421833_107167	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family
A0A1N6ZK30	FTNI01000007	-6	0	191123	191716	+	SIR27010.1	SAMN05421833_107168	hypothetical protein
A0A1N6ZK30	FTNI01000007	-5	0	191720	192121	-	SIR27043.1	SAMN05421833_107169	peptide-methionine (R)-S-oxide reductase
A0A1N6ZK30	FTNI01000007	-4	0	192532	193527	+	SIR27069.1	SAMN05421833_107170	DNA ligase D
A0A1N6ZK30	FTNI01000007	-3	0	194044	194295	+	SIR27100.1	SAMN05421833_107171	hypothetical protein
A0A1N6ZK30	FTNI01000007	-2	0	194415	195818	-	SIR27127.1	SAMN05421833_107172	glutamate decarboxylase
A0A1N6ZK30	FTNI01000007	-1	0	195842	196675	-	SIR27155.1	SAMN05421833_107173	glutamine amidotransferase
A0A1N6ZK30	FTNI01000007	0	1	196907	197749	-	SIR27185.1	SAMN05421833_107174	tyrosinase
A0A1N6ZK30	FTNI01000007	1	0	197996	198733	+	SIR27225.1	SAMN05421833_107175	Pyrimidine reductase, riboflavin biosynthesis
A0A1N6ZK30	FTNI01000007	2	0	198717	199826	+	SIR27257.1	SAMN05421833_107176	ATP-dependent DNA ligase
A0A1N6ZK30	FTNI01000007	3	0	199879	200184	-	SIR27288.1	SAMN05421833_107177	Branched-chain amino acid transport protein (AzlD)
A0A1N6ZK30	FTNI01000007	4	0	200184	201131	-	SIR27318.1	SAMN05421833_107178	Predicted branched-chain amino acid permease (azaleucine resistance)
A0A1N6ZK30	FTNI01000007	5	0	201397	203517	-	SIR27342.1	SAMN05421833_107179	glycogen operon protein
A0A1N6ZK30	FTNI01000007	6	0	203632	204060	-	SIR27377.1	SAMN05421833_107180	osmotically inducible protein OsmC
A0A1N6ZK30	FTNI01000007	7	0	204162	205772	-	SIR27412.1	SAMN05421833_107181	putative acyl-CoA dehydrogenase
A0A1N6ZK30	FTNI01000007	8	0	205865	207406	-	SIR27454.1	SAMN05421833_107182	Ankyrin repeat-containing protein
A0A1N6ZK30	FTNI01000007	9	0	207616	208254	+	SIR27485.1	SAMN05421833_107183	Cell wall-active antibiotics response 4TMS YvqF
A0A1N6ZK30	FTNI01000007	10	0	208430	208927	+	SIR27519.1	SAMN05421833_107184	RNA polymerase sigma-70 factor, sigma-E family
A0A5N6BWN4	VDMA02000006	-10	0	201017	202342	+	KAB8184927.1	FH610_013530	alkaline phosphatase family protein
A0A5N6BWN4	VDMA02000006	-9	0	202408	203586	-	KAB8185127.1	FH610_013535	ROK family protein
A0A5N6BWN4	VDMA02000006	-8	0	203862	205292	+	KAB8184928.1	FH610_013540	protoporphyrinogen oxidase
A0A5N6BWN4	VDMA02000006	-7	0	205380	206081	+	KAB8184929.1	FH610_013545	hypothetical protein
A0A5N6BWN4	VDMA02000006	-6	0	206429	207022	+	KAB8184930.1	FH610_013550	hypothetical protein
A0A5N6BWN4	VDMA02000006	-5	0	207026	207427	-	KAB8184931.1	FH610_013555	peptide-methionine (R)-S-oxide reductase MsrB
A0A5N6BWN4	VDMA02000006	-4	0	207838	208833	+	KAB8184932.1	FH610_013560	ATP-dependent DNA ligase
A0A5N6BWN4	VDMA02000006	-3	0	209323	209607	+	KAB8184933.1	FH610_013565	hypothetical protein
A0A5N6BWN4	VDMA02000006	-2	0	209753	211156	-	KAB8184934.1	FH610_013570	glutamate decarboxylase
A0A5N6BWN4	VDMA02000006	-1	0	211182	212021	-	KAB8184935.1	FH610_013575	class II glutamine amidotransferase
A0A5N6BWN4	VDMA02000006	0	1	212242	213108	-	KAB8184936.1	FH610_013580	hypothetical protein
A0A5N6BWN4	VDMA02000006	1	0	213384	214121	+	KAB8184937.1	FH610_013585	pyrimidine reductase family protein
A0A5N6BWN4	VDMA02000006	2	0	214138	215214	+	KAB8185128.1	FH610_013590	ATP-dependent DNA ligase
A0A5N6BWN4	VDMA02000006	3	0	215243	215548	-	KAB8184938.1	FH610_013595	AzlD domain-containing protein
A0A5N6BWN4	VDMA02000006	4	0	215545	216369	-	KAB8185129.1	FH610_013600	branched-chain amino acid ABC transporter permease
A0A5N6BWN4	VDMA02000006	5	0	216577	218697	-	KAB8184939.1	FH610_013605	glycogen debranching protein GlgX
A0A5N6BWN4	VDMA02000006	6	0	218813	219241	-	KAB8184940.1	FH610_013610	OsmC family peroxiredoxin
A0A5N6BWN4	VDMA02000006	7	0	219334	220980	-	KAB8184941.1	FH610_013615	isovaleryl-CoA dehydrogenase
A0A5N6BWN4	VDMA02000006	8	0	221055	222518	-	KAB8185130.1	FH610_013620	ankryin
A0A5N6BWN4	VDMA02000006	9	0	222699	223388	+	KAB8184942.1	FH610_013625	DUF1707 domain-containing protein
A0A5N6BWN4	VDMA02000006	10	0	223553	224046	+		FH610_013630	SigE family RNA polymerase sigma factor
A0A8H9LF69	BMMN01000009	-10	0	1438	1614	-	GGO20418.1	GCM10011574_46830	hypothetical protein
A0A8H9LF69	BMMN01000009	-9	0	1668	2462	-	GGO20425.1	GCM10011574_46840	hypothetical protein
A0A8H9LF69	BMMN01000009	-8	0	2464	2961	-	GGO20428.1	GCM10011574_46850	RNA polymerase sigma-E factor
A0A8H9LF69	BMMN01000009	-7	0	3121	3789	-	GGO20431.1	GCM10011574_46860	hypothetical protein
A0A8H9LF69	BMMN01000009	-6	0	3962	5605	+	GGO20434.1	GCM10011574_46870	hypothetical protein
A0A8H9LF69	BMMN01000009	-5	0	5781	7391	+	GGO20438.1	GCM10011574_46880	acyl-CoA dehydrogenase
A0A8H9LF69	BMMN01000009	-4	0	7493	7921	+	GGO20443.1	GCM10011574_46890	peroxiredoxin
A0A8H9LF69	BMMN01000009	-3	0	8036	10156	+	GGO20447.1	GCM10011574_46900	glycogen operon protein GlgX homolog
A0A8H9LF69	BMMN01000009	-2	0	10169	11278	-	GGO20450.1	GCM10011574_46910	ATP-dependent DNA ligase
A0A8H9LF69	BMMN01000009	-1	0	11262	11999	-	GGO20455.1	GCM10011574_46920	hypothetical protein
A0A8H9LF69	BMMN01000009	0	1	12374	13240	+	GGO20461.1	GCM10011574_46930	tyrosinase
A0A8H9LF69	BMMN01000009	1	0	13473	14306	+	GGO20464.1	GCM10011574_46940	class II glutamine amidotransferase
A0A8H9LF69	BMMN01000009	2	0	14334	15737	+	GGO20468.1	GCM10011574_46950	glutamate decarboxylase
A0A8H9LF69	BMMN01000009	3	0	15859	16110	-	GGO20487.1	GCM10011574_46960	hypothetical protein
A0A8H9LF69	BMMN01000009	4	0	16209	16376	-	GGO20495.1	GCM10011574_46970	hypothetical protein
A0A8H9LF69	BMMN01000009	5	0	16616	17611	-	GGO20522.1	GCM10011574_46980	ATP-dependent DNA ligase
A0A8H9LF69	BMMN01000009	6	0	18013	18423	+	GGO20525.1	GCM10011574_46990	peptide-methionine (R)-S-oxide reductase
A0A8H9LF69	BMMN01000009	7	0	18427	19020	-	GGO20532.1	GCM10011574_47000	hypothetical protein
A0A8H9LF69	BMMN01000009	8	0	19350	20111	+	GGO20536.1	GCM10011574_47010	short-chain dehydrogenase
A0A8H9LF69	BMMN01000009	9	0	20240	20941	-	GGO20539.1	GCM10011574_47020	hypothetical protein
A0A8H9LF69	BMMN01000009	10	0	20938	22368	-	GGO20543.1	GCM10011574_47030	protoporphyrinogen oxidase
A0ABQ4GGN2	BOOF01000005	-10	0	101664	102335	-	GIH60597.1	Msi02_14140	hypothetical protein
A0ABQ4GGN2	BOOF01000005	-9	0	102475	103998	+	GIH60598.1	Msi02_14150	hypothetical protein
A0ABQ4GGN2	BOOF01000005	-8	0	104110	105720	+	GIH60599.1	Msi02_14160	acyl-CoA dehydrogenase
A0ABQ4GGN2	BOOF01000005	-7	0	105813	106241	+	GIH60600.1	Msi02_14170	peroxiredoxin
A0ABQ4GGN2	BOOF01000005	-6	0	106355	108475	+	GIH60601.1	Msi02_14180	glycogen operon protein GlgX homolog
A0ABQ4GGN2	BOOF01000005	-5	0	108537	108812	-	GIH60602.1	Msi02_14190	hypothetical protein
A0ABQ4GGN2	BOOF01000005	-4	0	108790	109551	+	GIH60603.1	Msi02_14200	hypothetical protein
A0ABQ4GGN2	BOOF01000005	-3	0	109551	109856	+	GIH60604.1	Msi02_14210	branched-chain amino acid transporter AzlD
A0ABQ4GGN2	BOOF01000005	-2	0	109885	110994	-	GIH60605.1	Msi02_14220	ATP-dependent DNA ligase
A0ABQ4GGN2	BOOF01000005	-1	0	110978	111715	-	GIH60606.1	Msi02_14230	hypothetical protein
A0ABQ4GGN2	BOOF01000005	0	1	112002	112898	+	GIH60607.1	Msi02_14240	tyrosinase
A0ABQ4GGN2	BOOF01000005	1	0	113031	113867	+	GIH60608.1	Msi02_14250	class II glutamine amidotransferase
