accession,new_pool,old_pool,canonical,n_his,core_ok_new,best_ref,best_qtm,n_helix_ok,old_reason,a1_dist,a1_plddt,a1_helical,a1_sat,a2_dist,a2_plddt,a2_helical,a2_sat,a3_dist,a3_plddt,a3_helical,a3_sat,a4_dist,a4_plddt,a4_helical,a4_sat
C8CHT1,non-canonical,discarded,False,5,True,ref_1BT3_Ibatatas,0.99,4,ceFail+floor65,0.52,71.8,1,1,0.13,93.6,1,1,0.28,97.9,1,1,0.59,97.2,1,1
A0A8H5Q6G5,non-canonical,discarded,False,5,True,ref_PmTYR,0.682,4,ceFail+floor64,0.28,95.8,1,1,0.33,98.0,1,1,0.48,80.3,1,1,0.54,96.0,1,1
M2SQZ2,non-canonical,discarded,False,3,True,ref_PmTYR,0.655,4,coreFail+ceFail,1.26,98.7,1,1,0.24,98.4,1,1,3.01,79.1,1,1,0.55,96.7,1,1
N4X430,non-canonical,discarded,False,3,True,ref_PmTYR,0.655,4,coreFail+ceFail,1.26,98.7,1,1,0.24,98.4,1,1,3.01,79.1,1,1,0.55,96.7,1,1
A0ABR3FXT6,non-canonical,discarded,False,4,True,ref_PmTYR,0.635,4,ceFail+floor67,0.14,97.2,1,1,0.21,98.2,1,1,2.09,72.0,1,1,0.54,96.6,1,1
A0A409XK29,non-canonical,discarded,False,5,True,ref_PmTYR,0.63,4,ceFail+floor70,0.61,94.6,1,1,0.31,89.9,1,1,1.07,94.4,1,1,0.79,82.0,1,1
A0A368GCB1,non-canonical,discarded,False,4,True,ref_PmTYR,0.629,4,ceFail+floor59,0.38,93.1,1,1,0.65,95.1,1,1,1.08,70.4,1,1,0.33,88.9,1,1
A0A8H7CJP5,non-canonical,discarded,False,5,True,ref_PmTYR,0.623,4,coreFail+ceFail,0.34,90.1,1,1,0.29,97.2,1,1,0.94,89.8,1,1,0.23,95.5,1,1
A0A8H2X9J9,non-canonical,discarded,False,5,True,ref_PmTYR,0.622,4,ceFail+floor68,0.33,96.1,1,1,0.35,90.7,1,1,0.59,96.5,1,1,0.85,83.8,1,1
A0ACC2TU75,non-canonical,discarded,False,2,True,ref_PmTYR,0.62,4,coreFail+ceFail+floor38,1.23,74.4,1,1,1.9,91.0,1,1,2.33,81.5,1,1,2.82,89.2,1,1
A0A446BXJ9,non-canonical,discarded,False,4,True,ref_PmTYR,0.595,4,coreFail+ceFail,0.99,98.2,1,1,0.32,97.9,1,1,2.63,70.2,1,1,0.44,96.9,1,1
A0A395HJP7,non-canonical,discarded,False,5,True,ref_PmTYR,0.588,4,ceFail+floor62,0.69,95.2,1,1,0.54,97.7,1,1,0.9,91.3,1,1,0.43,96.5,1,1
A0AAI9UNI6,non-canonical,discarded,False,5,True,ref_PmTYR,0.587,4,ceFail+floor61,0.86,88.7,1,1,1.63,71.7,1,1,0.62,96.6,1,1,0.35,92.3,1,1
A0A2R5FJR1,non-canonical,discarded,False,5,True,ref_PmTYR,0.579,4,coreFail+ceFail,0.17,94.3,1,1,0.19,95.8,1,1,0.3,93.7,1,1,0.29,97.0,1,1
A0ABR1TNQ8,non-canonical,discarded,False,4,True,ref_PmTYR,0.563,4,ceFail+floor62,0.39,87.4,1,1,0.51,90.8,1,1,1.9,71.8,1,1,1.94,72.1,1,1
A0A091TFJ5,non-canonical,discarded,False,4,True,ref_PmTYR,0.553,4,coreFail+ceFail,0.46,92.2,1,1,0.38,96.2,1,1,1.8,78.0,1,1,0.16,94.7,1,1
G3XUP5,non-canonical,discarded,False,5,True,ref_2Y9W_Abisporus,0.528,4,ceFail+floor65,0.47,86.8,1,1,0.5,90.7,1,1,0.45,84.3,1,1,0.54,94.0,1,1
A0A075AEH4,non-canonical,discarded,False,5,True,ref_PmTYR,0.524,4,ceFail+floor69,0.44,95.3,1,1,0.35,95.5,1,1,0.19,82.2,1,1,0.32,96.7,1,1
A0AAD2E0S8,non-canonical,discarded,False,5,True,ref_5CE9_Jregia,0.523,4,ceFail+floor69,0.93,75.7,1,1,0.27,70.3,1,1,0.34,85.3,1,1,0.23,80.3,1,1
A0ACC2S7C6,non-canonical,discarded,False,1,True,ref_PmTYR,0.509,4,ceFail,2.33,90.9,1,1,1.21,97.5,1,1,1.09,98.2,1,1,0.61,98.4,1,1
A0A1Q8RG93,non-canonical,discarded,False,3,True,ref_PmTYR,0.508,4,coreFail+ceFail,0.33,98.6,1,1,0.45,98.9,1,1,1.55,98.3,1,1,0.46,98.9,1,1
A0A1Y2EAK7,non-canonical,discarded,False,5,True,ref_PmTYR,0.505,4,ceFail,0.53,97.4,1,1,0.45,96.4,1,1,0.61,90.7,1,1,0.25,96.4,1,1
A0A6A5RAM1,non-canonical,discarded,False,4,True,ref_2Y9W_Abisporus,0.505,4,coreFail+ceFail,0.49,94.8,1,1,0.25,97.7,1,1,2.89,86.8,1,1,0.69,96.7,1,1
A0A918SV45,non-canonical,discarded,False,5,True,ref_5CE9_Jregia,0.497,4,ceFail,0.47,98.8,1,1,0.28,99.0,1,1,0.19,98.9,1,1,0.29,99.0,1,1
A0ACC2T2P1,non-canonical,discarded,False,1,True,ref_PmTYR,0.495,4,ceFail,2.07,90.8,1,1,1.01,91.5,1,1,1.35,91.4,1,1,0.59,96.9,1,1
A0AAE0NMD8,non-canonical,discarded,False,3,True,ref_PmTYR,0.493,4,coreFail+ceFail+floor36,0.9,89.6,1,1,0.65,94.0,1,1,2.48,72.6,1,1,1.47,89.2,1,1
A0A4S9ZZ06,non-canonical,discarded,False,2,True,ref_PmTYR,0.492,4,coreFail+ceFail,1.89,90.9,1,1,0.51,96.0,1,1,2.42,81.2,1,1,0.85,95.3,1,1
A0AA35TLZ1,non-canonical,discarded,False,4,True,ref_PmTYR,0.491,4,ceFail+floor53,0.56,95.3,1,1,0.24,98.2,1,1,0.37,85.2,1,1,0.24,97.4,1,1
A0A0L0VSP3,non-canonical,discarded,False,5,True,ref_PmTYR,0.489,4,ceFail+floor70,0.39,90.0,1,1,0.35,94.5,1,1,0.58,73.6,1,1,1.23,73.9,1,1
A0A4S9AAS5,non-canonical,discarded,False,2,True,ref_PmTYR,0.488,4,coreFail+ceFail,1.86,90.2,1,1,0.5,95.9,1,1,2.45,80.6,1,1,0.86,95.2,1,1
W6ZD78,non-canonical,discarded,False,5,True,ref_PmTYR,0.488,4,ceFail+floor68,0.56,98.0,1,1,0.26,97.6,1,1,0.78,79.5,1,1,0.46,96.4,1,1
A0ACB1AYY7,non-canonical,discarded,False,3,True,ref_PmTYR,0.486,4,coreFail+ceFail,3.53,93.2,1,1,2.02,95.0,1,1,3.53,81.0,1,1,2.53,84.0,1,1
A0A074XND5,non-canonical,discarded,False,1,True,ref_PmTYR,0.485,4,ceFail,1.96,89.3,1,1,0.7,95.4,1,1,2.11,82.3,1,1,0.79,95.0,1,1
A0ABR4EPU0,non-canonical,discarded,False,5,True,ref_PmTYR,0.485,4,coreFail+ceFail,0.79,98.0,1,1,0.26,98.2,1,1,3.47,72.5,1,1,0.45,96.5,1,1
A0A3Q3L0Y4,non-canonical,discarded,False,5,True,ref_PmTYR,0.478,4,coreFail+ceFail,0.33,96.1,1,1,0.46,94.0,1,1,0.24,95.3,1,1,0.69,72.2,1,1
A0A091M3M6,non-canonical,discarded,False,4,True,ref_PmTYR,0.477,4,ceFail+floor56,0.38,89.5,1,1,0.44,94.4,1,1,1.42,74.7,1,1,0.38,88.7,1,1
A0A4S9Y8F5,non-canonical,discarded,False,2,True,ref_1BT3_Ibatatas,0.477,4,ceFail,1.26,93.4,1,1,0.46,96.8,1,1,3.13,94.0,1,1,1.27,95.6,1,1
A0A4S9D5E3,non-canonical,discarded,False,2,True,ref_5CE9_Jregia,0.476,4,coreFail+ceFail,1.33,88.3,1,1,0.41,94.6,1,1,2.32,83.4,1,1,0.81,94.8,1,1
A0A9P8G211,non-canonical,discarded,False,1,True,ref_PmTYR,0.476,4,ceFail,1.22,95.5,1,1,0.45,97.0,1,1,1.24,89.8,1,1,0.76,97.4,1,1
A0A4S9LP12,non-canonical,discarded,False,1,True,ref_PmTYR,0.474,4,ceFail,1.83,89.9,1,1,0.63,95.9,1,1,2.36,81.9,1,1,0.73,95.0,1,1
A0A4S9TIS8,non-canonical,discarded,False,2,True,ref_5CE9_Jregia,0.472,4,coreFail+ceFail,1.02,86.4,1,1,0.33,93.2,1,1,2.14,75.2,1,1,0.99,93.0,1,1
A0A4T0BL07,non-canonical,discarded,False,1,True,ref_PmTYR,0.471,4,ceFail,1.34,91.5,1,1,0.51,96.2,1,1,1.21,92.1,1,1,0.97,97.2,1,1
A0A4S9V507,non-canonical,discarded,False,2,True,ref_PmTYR,0.47,4,ceFail,1.51,88.4,1,1,0.54,95.1,1,1,3.18,91.7,1,1,1.27,94.0,1,1
A0ABR1VP59,non-canonical,discarded,False,5,True,ref_PmTYR,0.47,4,ceFail,0.69,85.1,1,1,0.55,92.7,1,1,0.48,79.3,1,1,0.76,74.5,1,1
A0A074VI76,non-canonical,discarded,False,2,True,ref_PmTYR,0.469,4,ceFail,1.57,93.5,1,1,0.37,96.1,1,1,1.65,80.1,1,1,0.66,96.2,1,1
A0AB74JLQ5,non-canonical,discarded,False,2,True,ref_PmTYR,0.469,4,ceFail,1.39,92.7,1,1,0.51,96.6,1,1,1.78,85.7,1,1,0.99,96.4,1,1
A0ACB7IQP8,non-canonical,discarded,False,4,True,ref_PmTYR,0.468,4,ceFail+floor69,2.32,71.4,1,1,0.96,92.0,1,1,0.55,83.6,1,1,2.44,70.8,1,1
A0A091Q771,non-canonical,discarded,False,4,True,ref_PmTYR,0.467,4,coreFail+ceFail+floor45,0.28,97.2,1,1,0.47,97.8,1,1,1.01,80.9,1,1,0.09,96.7,1,1
A0A4Z1HA19,non-canonical,discarded,False,4,True,ref_PmTYR,0.467,4,coreFail+ceFail+floor66,0.4,92.4,1,1,0.21,97.0,1,1,1.59,75.4,1,1,0.43,96.0,1,1
A0A7N6AMA0,non-canonical,discarded,False,5,True,ref_PmTYR,0.467,4,ceFail+floor33,0.67,96.4,1,1,0.48,98.0,1,1,1.35,84.5,1,1,0.41,95.8,1,1
L8X5X1,non-canonical,discarded,False,5,True,ref_PmTYR,0.467,4,ceFail+floor60,1.0,84.5,1,1,0.59,86.5,1,1,0.45,70.8,1,1,0.46,88.4,1,1
A0A2I0MT65,non-canonical,discarded,False,4,True,ref_PmTYR,0.465,4,coreFail+ceFail+floor67,0.47,96.2,1,1,0.62,98.0,1,1,1.77,75.0,1,1,0.23,97.3,1,1
A0A9N8KBE8,non-canonical,discarded,False,2,True,ref_1JS8_squid,0.465,4,ceFail+floor54,1.67,86.1,1,1,0.82,92.1,1,1,2.53,74.7,1,1,1.05,91.3,1,1
A0A665U0T6,non-canonical,discarded,False,4,True,ref_PmTYR,0.464,4,ceFail+floor49,0.5,96.8,1,1,0.45,97.9,1,1,1.59,74.6,1,1,0.29,96.1,1,1
A0A384BB62,non-canonical,discarded,False,4,True,ref_PmTYR,0.459,4,coreFail+ceFail,0.16,96.3,1,1,0.38,95.9,1,1,0.3,86.8,1,1,0.58,80.5,1,1
