protein_id	pfam
AAK33079	PF11951|Fungal specific transcription factor domain
AAK33080	PF00067|Cytochrome P450
AAK33081	PF06609|Fungal trichothecene efflux pump (TRI12)
AAK33082	PF07428|15-O-acetyltransferase Tri3
AAK33083	PF00067|Cytochrome P450
AAK33084	PF06330|Trichodiene synthase (TRI5)
AAK33085	PF27716|Trichothecene biosynthesis transcription regulator TRI6
AAK33086	PF03583|Secretory lipase
AAK33087	PF08195|TRI9 protein
AAN40836	
AAO34671	PF13489|Methyltransferase domain
AAO34672	
AAO34673	PF15979|Glycosyl hydrolase family 115;PF17829|Glycosyl hydrolase family 115 C-terminal domain
AAO34674	PF00332|Glycosyl hydrolases family 17
AAO34675	PF13472|GDSL-like Lipase/Acylhydrolase family
AKJ13083	PF13439|Glycosyltransferase Family 4;PF13692|Glycosyl transferases group 1
AKJ13084	
AKJ13085	PF13480|Acetyltransferase (GNAT) domain
AKJ13086	PF02156|Glycosyl hydrolase family 26
AKJ13087	
AKJ13088	PF00501|AMP-binding enzyme;PF23562|AMP-binding enzyme C-terminal domain
AKJ13089	
AKJ13090	
AKJ13091	PF07884|Vitamin K epoxide reductase family
AKJ13092	PF06236|Tyrosinase co-factor MelC1
AKJ13094	PF00668|Condensation domain
AKJ13095	
AKJ13096	
AKJ13097	
AKJ13098	
AKJ13099	
AKJ13100	
AKJ13101	
AKJ13102	
AKJ13103	
ALI37368	PF00120|Glutamine synthetase, catalytic domain;PF03951|Glutamine synthetase, beta-Grasp domain
ALI37369	
ALI37370	PF00766|Electron transfer flavoprotein FAD-binding domain;PF01012|Electron transfer flavoprotein domain
ALI37371	PF01012|Electron transfer flavoprotein domain
ALI37372	
ALI37373	PF00210|Ferritin-like domain
ALI37374	PF03976|Polyphosphate kinase 2 (PPK2)
ALI37375	
ALI37376	
ALI37377	
ALI37379	
ALI37380	PF20033|Domain of unknown function (DUF6438)
ALI37381	PF01734|Patatin-like phospholipase
ALI37382	
ALI37383	
ALI37384	
ALI37385	
ALI37386	
ALI37387	
ALI37388	PF03415|Clostripain family
AOR34204	PF01522|Polysaccharide deacetylase
AOR34205	PF00534|Glycosyl transferases group 1;PF13439|Glycosyltransferase Family 4
AOR34206	
AOR34207	PF02156|Glycosyl hydrolase family 26
AOR34208	
