accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A072P5W0	1182545		AMGV01000009	KEF54663.1	Genomic_DNA	1
A0A072P8W8	1182545		AMGV01000006	KEF56271.1	Genomic_DNA	1
A0A0D1YF04						0
A0A0D1ZN85	569365		KN847042	KIW29411.1	Genomic_DNA	1
A0A0D2BB96	569365		KN847040	KIW34852.1	Genomic_DNA	1
A0A0D2BH13	91928		KN847493	KIW18288.1	Genomic_DNA	1
A0A0D2BKG3	91928		KN847493	KIW19040.1	Genomic_DNA	1
A0A0D2BR19	91928		KN847497	KIW13649.1	Genomic_DNA	1
A0A0D2CZ06	1851006		KN846957	KIW70436.1	Genomic_DNA	1
A0A0D2D664	215243		KN847342	KIW37870.1	Genomic_DNA	1
A0A0D2DPV7	215243		KN847342	KIW37869.1	Genomic_DNA	1
A0A0D2DYM6	215243		KN847338	KIW40639.1	Genomic_DNA	1
A0A0D2EDR6	215243		KN847333	KIW46064.1	Genomic_DNA	1
A0A0D2EIL3	348802		KN847320	KIW55248.1	Genomic_DNA	1
A0A0D2ETA8	348802		KN847318	KIW57965.1	Genomic_DNA	1
A0A0D2EZC7	1442368		KN846972	KIW79722.1	Genomic_DNA	1
A0A0D2F4M5	348802		KN847320	KIW54844.1	Genomic_DNA	1
A0A0D2G164	1442370		KN846988	KIW92472.1	Genomic_DNA	1
A0A0D2G9B5	1851006		KN846958	KIW68484.1	Genomic_DNA	1
A0A0D2HA46	1442368		KN846971	KIW81419.1	Genomic_DNA	1
A0A0D2HER3	1442369		KN847475	KIX09128.1	Genomic_DNA	1
A0A0D2HGH5	1442370		KN846994	KIW89900.1	Genomic_DNA	1
A0A0D2IAF0	1442371		KN848089	KIX94131.1	Genomic_DNA	1
A0A0D2JFD5	1442369		KN847476	KIX07950.1	Genomic_DNA	1
A0A0D2K829	1442371		KN848064	KIY02238.1	Genomic_DNA	1
A0A0G2EUA6	158046		LCWF01000039	KKY25721.1	Genomic_DNA	1
A0A0N1H7B4	1664694		LFJN01000017	KPI38810.1	Genomic_DNA	1
A0A0N1P0I4	1664694		LFJN01000005	KPI43615.1	Genomic_DNA	1
A0A177EUN3	254056		LVKK01000146	OAG34679.1	Genomic_DNA	1
A0A177FEY3	254056		LVKK01000014	OAG42813.1	Genomic_DNA	1
A0A178CTE4	856822		LVCJ01000054	OAL33119.1	Genomic_DNA	1
A0A178DF33	856822		LVCJ01000003	OAL39823.1	Genomic_DNA	1
A0A178Z9S6	1367422		LVYI01000009	OAP56211.1	Genomic_DNA	1
A0A179A145	1367422		LVYI01000001	OAP65717.1	Genomic_DNA	1
A0A1C1CNS0	86049		LGRB01000010	OCT50146.1	Genomic_DNA	1
A0A1C1CVI7	86049		LGRB01000008	OCT52455.1	Genomic_DNA	1
A0A438NAJ9						0
A0A438NAZ0						0
A0A8H6DNI4	1567541		JAAOAN010000050	KAF5723958.1	Genomic_DNA	1
A0AA38XND7	386627		JAPDRK010000001	KAJ9616695.1	Genomic_DNA	1
A0AA38XQF2	386627		JAPDRK010000001	KAJ9617286.1	Genomic_DNA	1
A0AA38XXB7	1002370		JAPDRN010000086	KAJ9625468.1	Genomic_DNA	1
A0AA38Y990	1002370		JAPDRN010000020	KAJ9638639.1	Genomic_DNA	1
A0AA38YDK5	1002370		JAPDRN010000004	KAJ9645489.1	Genomic_DNA	1
A0AAN6DP90	2486360		MU404360	KAI1609523.1	Genomic_DNA	1
A0AAN6EN09						0
A0AAN6EWD7						0
A0AAN6IG51	2486360		MU404352	KAI1615790.1	Genomic_DNA	1
A0AAN7T3Y1	1690604		JAVRRJ010000002	KAK5088262.1	Genomic_DNA	1
A0AAN7T5E4	1690604		JAVRRJ010000001	KAK5090864.1	Genomic_DNA	1
A0AAN8F2Z4	191047		JAKLMC020000029	KAK5950141.1	Genomic_DNA	1
A0AAN8I9N5	191047		JAKLMC020000008	KAK5954575.1	Genomic_DNA	1
A0AAV9NEM7	1690606		JAVRRD010000011	KAK5054021.1	Genomic_DNA	1
A0AAV9NM11	1690606		JAVRRD010000005	KAK5058619.1	Genomic_DNA	1
A0AAV9PYQ5	1690605		JAXLQG010000022	KAK5529498.1	Genomic_DNA	1
A0AAV9Q2N9	1690605		JAXLQG010000014	KAK5532803.1	Genomic_DNA	1
A0AAV9QGM4	1690605		JAXLQG010000004	KAK5541279.1	Genomic_DNA	1
A0ABD3P7G1	382360		JALLPJ020000768	KAL3783393.1	Genomic_DNA	1
A0ABQ6MZQ8	2962635		BRYB01000728	GMI36383.1	Genomic_DNA	1
A0ABR0IZ48	1016849		JAVRRF010000029	KAK5052418.1	Genomic_DNA	1
A0ABR0JMJ3	1016849		JAVRRF010000002	KAK5067188.1	Genomic_DNA	1
