accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A0F0IBW7						0
A0A0G4L6X2	100787		CVQH01008557	CRK17460.1	Genomic_DNA	1
A0A0G4LMV7						0
A0A0G4LPB5	100787		CVQH01016224	CRK23764.1	Genomic_DNA	1
A0A0G4N2N6						0
A0A136JKK4	196109		KQ964245	KXJ97681.1	Genomic_DNA	1
A0A1F8A6I4	109264		LYCR01000023	OGM47390.1	Genomic_DNA	1
A0A1G7EVK2	641691		FNAO01000006	SDE67607.1	Genomic_DNA	1
A0A1G7JAM5	641691		FNAO01000020	SDF21529.1	Genomic_DNA	1
A0A1G7K2Z2	76594		FNBD01000011	SDF31517.1	Genomic_DNA	1
A0A1L9NHP5	767770		KV878178	OJI88787.1	Genomic_DNA	1
A0A1L9UF38	767769		KV878686	OJJ70280.1	Genomic_DNA	1
A0A1M3T705						0
A0A1M6NA87	558155		FQYX01000060	SHJ92670.1	Genomic_DNA	1
A0A1S9DBW0						0
A0A254U6L8						0
A0A285MR25	1247520		OBEH01000002	SNY99620.1	Genomic_DNA	1
A0A2G7FTM7	656916		NEXV01000422	PIG83903.1	Genomic_DNA	1
A0A2H3BR86	1076256		KZ293420	PBK73405.1	Genomic_DNA	1
A0A2V1CZI9	97972		KZ805956	PVH91111.1	Genomic_DNA	1
A0A2Z4LVM5	1383885		CP030104	AWX45793.1	Genomic_DNA	1
A0A316L4G5	2201895		QGEG01000002	PWL39163.1	Genomic_DNA	1
A0A317UZS7	1448314		MSFU01000027	PWY65440.1	Genomic_DNA	1
A0A317WBK9	1450535		MSFK01000020	PWY81510.1	Genomic_DNA	1
A0A318ZGW2	1448310		KZ821456	PYH35292.1	Genomic_DNA	1
A0A319AVK5	1448311		KZ821644	PYH64289.1	Genomic_DNA	1
A0A319E1L0	1448318		KZ826374	PYI03936.1	Genomic_DNA	1
A0A319EJ46	1448320		KZ825961	PYH90972.1	Genomic_DNA	1
A0A370CBG9						0
A0A370PE47	1353007		KZ851858	RDK40174.1	Genomic_DNA	1
A0A397H284	1245748		NIDN02000094	RLL96934.1	Genomic_DNA	1
A0A3A1NL96	2306998		VNWK01000013	TXJ98827.1	Genomic_DNA	1
A0A3E2GYC9	5539		NCSJ02000305	RFU25773.1	Genomic_DNA	1
A0A3F3PSP3	1341132		KZ852064	RDH29967.1	Genomic_DNA	1
A0A3M9YDG5	1051616		RBVV01000025	RNJ58593.1	Genomic_DNA	1
A0A3N4LRS9	1051890		ML121537	RPB25627.1	Genomic_DNA	1
A0A3S0IN34	2489054		RQPJ01000003	RTE53812.1	Genomic_DNA	1
A0A401KLG2	105351		BDHI01000002	GCB20055.1	Genomic_DNA	1
A0A401L788	105351		BDHI01000028	GCB27384.1	Genomic_DNA	1
A0A439CYQ7	363999		RYZI01000265	RWA07345.1	Genomic_DNA	1
A0A444S1W9						0
A0A4Z1P5A9	86259		SNSC02000017	TID17006.1	Genomic_DNA	1
A0A517KXT5	50376		CP042185	QDS68188.1	Genomic_DNA	1
A0A5N5IZL2	2597517		VNIK02000001	KAB5492168.1	Genomic_DNA	1
A0A5N5X5Y0	41062		ML732193	KAB8075487.1	Genomic_DNA	1
A0A5N6D8B2	5067		ML735021	KAB8201381.1	Genomic_DNA	1
A0A5N6EDE4	986946		ML733520	KAB8214834.1	Genomic_DNA	1
A0A5N6HBU3						0
A0A5N6JAD3	656917		ML732785	KAB8274914.1	Genomic_DNA	1
A0A5N6U4R0	36643		ML742038	KAE8153500.1	Genomic_DNA	1
A0A5N6VBP0	41984		ML738585	KAE8168446.1	Genomic_DNA	1
A0A5N6WAL7	1034304		ML738300	KAE8317692.1	Genomic_DNA	1
A0A5N6X0X6	1034303		ML741798	KAE8326633.1	Genomic_DNA	1
A0A5N6XWQ8						0
A0A5N7AN97	61420		ML737564	KAE8370716.1	Genomic_DNA	1
A0A5N7AYA5	1226010		ML736274	KAE8374837.1	Genomic_DNA	1
A0A5N7CK52						0
A0A6P0UFZ0	504488		JAABOP010000005	NER11542.1	Genomic_DNA	1
A0A7C8MWQ0	323545		WUBL01000014	KAF2971331.1	Genomic_DNA	1
A0A7H8R8H9	121627		CP055902	QKX62709.1	Genomic_DNA	1
A0A7R7WZB7	1069201		AP024429	BCR99713.1	Genomic_DNA	1
A0A7U2MHQ4	332952		CP044621	QRD83465.1	Genomic_DNA	1
A0A831VP34						0
A0A8G1QQX9	1448313		KZ825082	RAH52661.1	Genomic_DNA	1
A0A8H3FYE1	1940652		CAJPDQ010000034	CAF9929908.1	Genomic_DNA	1
A0A8H3G6G5	116794		CAJPDS010000097	CAF9937036.1	Genomic_DNA	1
A0A8H3UMI6						0
A0A8H3WCH4	702518		WOWK01000049	KAF0323805.1	Genomic_DNA	1
A0A8H3Z5Y7	5025		WNWR01000296	KAE9984383.1	Genomic_DNA	1
A0A8H3ZAJ8						0
A0A8H4CL76	474922		WVTB01000038	KAF3805960.1	Genomic_DNA	1
A0A8H6E1Q8	209559		SPNV01000347	KAF5856109.1	Genomic_DNA	1
A0A8H6P259	1194566		JACBAD010002114	KAF7115509.1	Genomic_DNA	1
A0A8H6Q2T8						0
A0A8J2X377	35677		CAKKNE010000006	CAH0379257.1	Genomic_DNA	1
A0A8K0J8J2	83212		SRPY01000179	KAG5927466.1	Genomic_DNA	1
A0A934KPH0	291193		JAEHJZ010000092	MBJ7883087.1	Genomic_DNA	1
A0A964TAH5	2696472		JAAABI010000001	NAY91245.1	Genomic_DNA	1
A0A9P3PVH5	47721		BRPK01000011	GLB42269.1	Genomic_DNA	1
A0A9P4I595	1504668		ML978131	KAF2095406.1	Genomic_DNA	1
A0A9P5K8I6	690259		QPMT01000003	KAF4865208.1	Genomic_DNA	1
A0A9P7NE30	123648		SRPW01000782	KAG6012121.1	Genomic_DNA	1
A0A9P8YGS0	1682393		JAGTJQ010000002	KAH7037658.1	Genomic_DNA	1
A0A9P8YJY5	1682393		JAGTJQ010000001	KAH7041268.1	Genomic_DNA	1
A0A9P9AFP1	1576542		JAGPYM010000042	KAH6874068.1	Genomic_DNA	1
A0A9P9BVC7	1682393		JAGTJQ010000002	KAH7038384.1	Genomic_DNA	1
A0A9P9D313	1079267		JAGMUU010000056	KAH7111494.1	Genomic_DNA	1
A0A9P9DY84	1079267		JAGMUU010000022	KAH7127960.1	Genomic_DNA	1
A0A9P9EVV4	307937		JAGMUV010000008	KAH7146091.1	Genomic_DNA	1
A0A9P9IDE3	1079267		JAGMUU010000039	KAH7115400.1	Genomic_DNA	1
A0A9W4S0R7	2664923		CAMGZC010001169	CAI0651803.1	Genomic_DNA	1
A0A9W5YXR1						0
A0A9W8ABZ6	417184		JANBPU010000003	KAJ1921781.1	Genomic_DNA	1
A0A9W8BH04	2663907		JANBQF010000124	KAJ2004991.1	Genomic_DNA	1
A0A9W8N878	114810		JANPWZ010001931	KAJ3562255.1	Genomic_DNA	1
A0AA39MWI5	47425		JAUEPT010000009	KAK0448654.1	Genomic_DNA	1
A0AA39P123	153914		JAUEPR010000023	KAK0475576.1	Genomic_DNA	1
A0AA39QMY4	153913		JAUEPU010000002	KAK0505269.1	Genomic_DNA	1
A0AA39WL81	314043		JAULSU010000005	KAK0617462.1	Genomic_DNA	1
A0AA39WW28	314043		JAULSU010000003	KAK0622601.1	Genomic_DNA	1
A0AA40F7V3	314040		JAUKUD010000001	KAK0752696.1	Genomic_DNA	1
A0AA40JYG4	314040		JAUKUD010000006	KAK0740159.1	Genomic_DNA	1
A0AA44WUB9						0
A0AA48HBG1	254955		AP027268	BDW93804.1	Genomic_DNA	1
A0AAD4PWA9	1131652		JAJTJA010000012	KAH8691329.1	Genomic_DNA	1
A0AAD9ENP9	1836956		JAQOWY010000043	KAK1854057.1	Genomic_DNA	1
A0AAE8N352	2041049		ONZQ02000013	SPO05561.1	Genomic_DNA	1
A0AAJ0H0A0	1170767		JAUDZG010000001	KAK3309387.1	Genomic_DNA	1
A0AAN6XU13	261697		MU858378	KAK4206608.1	Genomic_DNA	1
A0AAN7UQF6	326684		JAWHQM010000089	KAK5637030.1	Genomic_DNA	1
A0AAN8I1Q1	191047		JAKLMC020000034	KAK5949562.1	Genomic_DNA	1
A0AAU7MTE2						0
A0AAU8RIP0						0
A0AAV9GQZ8	3040156		MU865933	KAK4450357.1	Genomic_DNA	1
A0AAV9H5N3	3040156		MU865914	KAK4455300.1	Genomic_DNA	1
