accession	group	subgroup
A0A010Q4B9	candidate_pool	oMP
A0A010QAA5	candidate_pool	oMP
A0A010QYY8	candidate_pool	DCT_DHICA
A0A010R9A2	candidate_pool	oMP
A0A010RL70	candidate_pool	oMP
A0A010RM53	candidate_pool	oAPO
A0A010RYF3	candidate_pool	oAPO
A0A010SFQ0	candidate_pool	hemocyanin
A0A010SMB4	candidate_pool	oMP
A0A017SD63	candidate_pool	oMP
A0A024GPM3	candidate_pool	hemocyanin
A0A024TEL4	candidate_pool	oAPO
A0A024TMR4	candidate_pool	hemocyanin
A0A024TN69	candidate_pool	hemocyanin
A0A024UNS3	candidate_pool	oAPO
A0A024UP64	candidate_pool	oAPO
A0A024URD5	candidate_pool	oAPO
A0A059F260	candidate_pool	oAPO
A0A059TZU2	candidate_pool	DCT_DHICA
A0A059U1P9	candidate_pool	DCT_DHICA
A0A060WMQ6	candidate_pool	DCT_DHICA
A0A060WUY0	candidate_pool	DCT_DHICA
A0A060X1G5	candidate_pool	DCT_DHICA
A0A060XL10	candidate_pool	DCT_DHICA
A0A066X6L4	candidate_pool	oMP
A0A066XQD0	candidate_pool	oMP
A0A067BLT8	candidate_pool	hemocyanin
A0A067BTT5	candidate_pool	oAPO
A0A067BUS0	candidate_pool	oAPO
A0A067BX73	candidate_pool	hemocyanin
A0A067BZH5	candidate_pool	hemocyanin
A0A067C631	candidate_pool	hemocyanin
A0A067CPX4	candidate_pool	oAPO
A0A067CXC8	candidate_pool	oAPO
A0A067D814	candidate_pool	oAPO
A0A067MC03	candidate_pool	oAPO
A0A067MC09	candidate_pool	DCT_DHICA
A0A067TCE7	candidate_pool	oMP
A0A072P5W0	candidate_pool	DCT_DHICA
A0A072P8W8	candidate_pool	DCT_DHICA
A0A072PCR1	candidate_pool	oMP
A0A074RCL1	candidate_pool	oAPO
A0A074RLS0	candidate_pool	oAPO
A0A074RSM2	candidate_pool	oAPO
A0A074RTB9	candidate_pool	oAPO
A0A074RXR6	candidate_pool	oAPO
A0A074S0H8	candidate_pool	oAPO
A0A074S7C5	candidate_pool	oAPO
A0A074S7W9	candidate_pool	oAPO
A0A074SA15	candidate_pool	oAPO
A0A074SFZ9	candidate_pool	oAPO
A0A074SK72	candidate_pool	oAPO
A0A074SK81	candidate_pool	oAPO
A0A074SUA9	candidate_pool	oAPO
A0A074VGZ0	candidate_pool	oMP
A0A074WJS2	candidate_pool	oMP
A0A074WWD6	candidate_pool	oMP
A0A074XNA1	candidate_pool	oMP
A0A074YH07	candidate_pool	oMP
A0A075DN54	characterized	AUS
A0A080Z0A1	candidate_pool	hemocyanin
A0A080ZVS2	candidate_pool	hemocyanin
A0A080ZVS5	candidate_pool	hemocyanin
A0A080ZVS7	candidate_pool	hemocyanin
A0A081AVN2	candidate_pool	hemocyanin
A0A084AF08	candidate_pool	oMP
A0A084AR48	candidate_pool	oMP
A0A084B2K4	candidate_pool	oAPO
A0A084BB06	candidate_pool	oAPO
A0A084G3K0	candidate_pool	oAPO
A0A084G6B5	candidate_pool	oMP
A0A084GCK1	candidate_pool	oMP
A0A084QCB8	candidate_pool	oAPO
A0A084QWG9	candidate_pool	oAPO
A0A084QX23	candidate_pool	oMP
