accession,pool,canonical,n_his,core_ok,best_ref,best_qtm,n_helix_ok,reason
A0A010Q293,canonical,True,6,False,,,,canonical_geometry
A0A010Q4B9,canonical,True,6,False,,,,canonical_geometry
A0A010QAA5,canonical,True,6,False,,,,canonical_geometry
A0A010QHN9,canonical,True,6,False,,,,canonical_geometry
A0A010QIY5,discarded,False,4,False,ref_2Y9W_Abisporus,0.36,3,corehelix_core_fail
A0A010QL93,canonical,True,6,False,,,,canonical_geometry
A0A010QPL7,canonical,True,6,False,,,,canonical_geometry
A0A010QXZ0,canonical,True,6,False,,,,canonical_geometry
A0A010QYY8,canonical,True,6,False,,,,canonical_geometry
A0A010R234,discarded,False,5,False,ref_2Y9W_Abisporus,0.416,2,corehelix_core_fail
A0A010R9A2,canonical,True,6,False,,,,canonical_geometry
A0A010RBA2,canonical,True,6,False,,,,canonical_geometry
A0A010RL70,canonical,True,6,False,,,,canonical_geometry
A0A010RM53,canonical,True,6,False,,,,canonical_geometry
A0A010RPY0,canonical,True,6,False,,,,canonical_geometry
A0A010RQ21,canonical,True,6,False,,,,canonical_geometry
A0A010RR72,discarded,False,3,False,ref_2Y9W_Abisporus,0.416,3,corehelix_core_fail
A0A010RUM6,canonical,True,6,False,,,,canonical_geometry
A0A010RV53,noncanonical,False,5,True,ref_PmTYR,0.432,4,corehelix_core_ok
A0A010RV80,canonical,True,6,False,,,,canonical_geometry
A0A010RY59,canonical,True,6,False,,,,canonical_geometry
A0A010RYF3,canonical,True,6,False,,,,canonical_geometry
A0A010S1R5,discarded,False,5,False,ref_2Y9W_Abisporus,0.434,3,corehelix_core_fail
A0A010S6Q2,canonical,True,6,False,,,,canonical_geometry
A0A010SFQ0,canonical,True,6,False,,,,canonical_geometry
A0A010SKU6,canonical,True,6,False,,,,canonical_geometry
A0A010SMB4,canonical,True,6,False,,,,canonical_geometry
A0A010SNL7,canonical,True,6,False,,,,canonical_geometry
A0A014N831,noncanonical,False,5,True,ref_PmTYR,0.555,4,corehelix_core_ok
A0A014P1F1,canonical,True,6,False,,,,canonical_geometry
A0A014P933,discarded,False,4,False,ref_2Y9W_Abisporus,0.442,2,corehelix_core_fail
A0A014PGS4,discarded,False,4,False,ref_PmTYR,0.649,3,corehelix_core_fail
A0A014PNW6,canonical,True,6,False,,,,canonical_geometry
A0A014QX88,canonical,True,6,False,,,,canonical_geometry
A0A015J8T7,discarded,False,2,False,ref_2Y9W_Abisporus,0.251,1,corehelix_core_fail
A0A016RWG9,canonical,True,6,False,,,,canonical_geometry
A0A016RXK8,canonical,True,6,False,,,,canonical_geometry
A0A016S930,canonical,True,6,False,,,,canonical_geometry
A0A016SJ50,canonical,True,6,False,,,,canonical_geometry
A0A016SK14,canonical,True,6,False,,,,canonical_geometry
A0A016T0A5,canonical,True,6,False,,,,canonical_geometry
A0A016T1G5,canonical,True,6,False,,,,canonical_geometry
A0A016TKY1,canonical,True,6,False,,,,canonical_geometry
A0A016UL52,canonical,True,6,False,,,,canonical_geometry
A0A016ULR3,canonical,True,6,False,,,,canonical_geometry
A0A016VBJ0,canonical,True,6,False,,,,canonical_geometry
A0A016VC89,canonical,True,6,False,,,,canonical_geometry
A0A016VDA3,canonical,True,6,False,,,,canonical_geometry
A0A016VE53,canonical,True,6,False,,,,canonical_geometry
A0A016VS08,canonical,True,6,False,,,,canonical_geometry
A0A016W0V7,canonical,True,6,False,,,,canonical_geometry
A0A016W1E9,discarded,False,2,False,,,,corehelix_core_fail
A0A016W1G3,canonical,True,6,False,,,,canonical_geometry
A0A016W1Z7,discarded,False,4,False,ref_PmTYR,0.483,2,corehelix_core_fail
A0A016W210,discarded,False,3,False,ref_PmTYR,0.37,2,corehelix_core_fail
A0A016W215,noncanonical,False,3,True,ref_PmTYR,0.587,4,corehelix_core_ok
A0A016W255,discarded,False,4,False,ref_PmTYR,0.46,2,corehelix_core_fail
A0A016W259,canonical,True,6,False,,,,canonical_geometry
A0A016W267,discarded,False,2,False,,,,corehelix_core_fail
A0A016W313,canonical,True,6,False,,,,canonical_geometry
A0A016W316,discarded,False,3,False,ref_PmTYR,0.61,2,corehelix_core_fail
A0A016W324,noncanonical,False,3,True,ref_PmTYR,0.502,4,corehelix_core_ok
A0A016W3A4,canonical,True,6,False,,,,canonical_geometry
A0A016W3W4,canonical,True,6,False,,,,canonical_geometry
