query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A0A6UH53	JRTT01000028	-10	0	34688	35290	-	KHD75346.1	MB27_23175	cholesterol esterase
A0A0A6UH53	JRTT01000028	-9	0	35447	36178	-	KHD75402.1	MB27_23180	TetR family transcriptional regulator
A0A0A6UH53	JRTT01000028	-8	0	36341	37237	+	KHD75347.1	MB27_23185	hypothetical protein
A0A0A6UH53	JRTT01000028	-7	0	37287	37940	+	KHD75348.1	MB27_23190	hypothetical protein
A0A0A6UH53	JRTT01000028	-6	0	37966	38742	-	KHD75349.1	MB27_23195	hypothetical protein
A0A0A6UH53	JRTT01000028	-5	0	38742	39059	-	KHD75350.1	MB27_23200	hypothetical protein
A0A0A6UH53	JRTT01000028	-4	0	39132	39644	+	KHD75351.1	MB27_23205	hypothetical protein
A0A0A6UH53	JRTT01000028	-3	0	39695	40078	+	KHD75352.1	MB27_23210	hypothetical protein
A0A0A6UH53	JRTT01000028	-2	0	40099	40593	-	KHD75353.1	MB27_23215	hypothetical protein
A0A0A6UH53	JRTT01000028	-1	0	40676	41128	+	KHD75354.1	MB27_23220	hypothetical protein
A0A0A6UH53	JRTT01000028	0	1	41157	41963	+	KHD75355.1	MB27_23225	hypothetical protein
A0A0A6UH53	JRTT01000028	1	0	42549	42863	-	KHD75356.1	MB27_23230	hypothetical protein
A0A0A6UH53	JRTT01000028	2	0	43054	43716	-	KHD75357.1	MB27_23235	hypothetical protein
A0A0A6UH53	JRTT01000028	3	0	44020	44634	+	KHD75403.1	MB27_23240	hypothetical protein
A0A0A6UH53	JRTT01000028	4	0	46425	46922	-	KHD75358.1	MB27_23255	anhydrase
A0A0A6UH53	JRTT01000028	5	0	47035	47223	+	KHD75359.1	MB27_23260	hypothetical protein
A0A0A6UH53	JRTT01000028	6	0	47280	48197	-	KHD75360.1	MB27_23265	catalase
A0A0A6UH53	JRTT01000028	7	0	48312	49553	+	KHD75404.1	MB27_23270	manganese transport protein MntH
A0A0A6UH53	JRTT01000028	8	0	49591	50235	-	KHD75361.1	MB27_23275	LuxR family transcriptional regulator
