accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A080ZVP9						0
A0A0W8C3R7						0
A0A225WZW1	4795		NBNE01000131	OWZ22508.1	Genomic_DNA	1
A0A329SW91	29920		MJFZ01000035	RAW41157.1	Genomic_DNA	1
A0A6A3EYQ9						0
A0A6A3L3S8						0
A0A6A3MUA3	129364		QXFT01000377	KAE9345677.1	Genomic_DNA	1
A0A6A3NDJ9						0
A0A6A4E140	53985		QXGB01000477	KAE9213519.1	Genomic_DNA	1
A0A6G0LHA8						0
A0A6G0S364						0
A0A8J5M7S4	2496075		JAENGY010000121	KAG6972974.1	Genomic_DNA	1
A0A8T1W4C6	221518		JAGDFM010000065	KAG7388161.1	Genomic_DNA	1
A0ABD3FTY2	2107226		JBIMZQ010000009	KAL3669442.1	Genomic_DNA	1
G5ABA8	1094619		JH159162	EGZ07253.1	Genomic_DNA	1
V9EVI6	1317065		ANIZ01002151	ETI42086.1	Genomic_DNA	2
W2IN56						0
W2PY30						0
W2WMR4						0
W2YZ31						0
